Date,AAPL,ABBV,BAC,CAT,COP,COST,CVX,EOG,GE,GOOGL,GS,HON,JNJ,JPM,KO,LLY,MA,MCD,MRK,MSFT,NVDA,ORCL,PEP,PFE,RTX,SLB,UNP,V,WMT,XOM
2015-07-23,27.92091941833496,45.3591194152832,14.358144760131836,59.256370544433594,38.63963317871094,121.52079772949219,58.00991439819336,55.186378479003906,109.10767364501953,33.43997573852539,169.18238830566406,78.1949234008789,74.01164245605469,52.01667022705078,28.956871032714844,71.9373779296875,89.0189437866211,73.93973541259766,39.408966064453125,39.66472244262695,0.4749211370944977,33.075355529785156,69.26074981689453,20.418386459350586,49.196693420410156,63.175209045410156,71.92861938476562,66.39082336425781,19.763652801513672,50.741455078125
2015-07-24,27.773685455322266,43.789695739746094,14.137009620666504,58.65519332885742,37.245361328125,121.0116958618164,56.54938507080078,54.34758758544922,106.98870849609375,32.45075225830078,166.2163848876953,77.03305053710938,73.23607635498047,51.47141647338867,28.673263549804688,70.24586486816406,89.64573669433594,73.18577575683594,38.9610595703125,39.51848220825195,0.46936219930648804,33.075355529785156,68.76738739013672,20.113113403320312,48.306549072265625,60.883819580078125,72.31120300292969,69.2130126953125,19.51016616821289,49.99103546142578
2015-07-27,27.387746810913086,44.60013961791992,13.955362319946289,58.054012298583984,36.21571731567383,120.3940658569336,55.638092041015625,52.9231071472168,107.81965637207031,32.62422180175781,164.34857177734375,76.18608093261719,72.59347534179688,50.799171447753906,28.744163513183594,69.77324676513672,88.29865264892578,73.14012145996094,38.6760368347168,39.010955810546875,0.4667036533355713,32.65979766845703,68.39561462402344,20.160079956054688,48.09251403808594,60.04658126831055,72.13945007324219,68.34320068359375,19.455657958984375,49.56581497192383
2015-07-28,27.523836135864258,45.81580352783203,14.121210098266602,59.95008087158203,37.352596282958984,120.64445495605469,57.672874450683594,55.569610595703125,108.44290161132812,32.69310760498047,165.3265380859375,78.10491180419922,73.14006042480469,50.82903289794922,28.751256942749023,71.04185485839844,89.0189437866211,74.12252807617188,39.03571319580078,39.00233840942383,0.47685471177101135,33.31282043457031,68.71734619140625,20.753023147583008,48.14116668701172,60.59005355834961,75.44229125976562,69.15747833251953,19.651905059814453,51.579444885253906
2015-07-29,27.43682861328125,45.519935607910156,14.342350006103516,59.60325241088867,37.824527740478516,121.33719635009766,58.203426361083984,56.21318435668945,109.10767364501953,32.780826568603516,165.8075408935547,79.10936737060547,73.66448974609375,51.49381637573242,28.779613494873047,70.55266571044922,90.48764038085938,74.79268646240234,39.72792053222656,39.81956100463867,0.48265522718429565,33.74534606933594,69.01763916015625,20.993722915649414,48.33087158203125,61.61090850830078,76.93362426757812,70.33261108398438,19.687339782714844,51.99217987060547
2015-07-30,27.298524856567383,45.12757873535156,14.318652153015137,60.389404296875,37.23105239868164,121.2703857421875,58.06609344482422,56.791648864746094,108.52597045898438,32.935943603515625,166.09616088867188,78.98944091796875,73.74575805664062,51.568504333496094,28.758338928222656,70.09661865234375,92.05923461914062,75.52376556396484,39.71435546875,40.32709503173828,0.48386350274086,33.626625061035156,69.08914947509766,20.976106643676758,48.997276306152344,61.33915328979492,76.28556060791016,70.67497253417969,19.66826057434082,51.91090393066406
2015-07-31,27.059825897216797,45.031089782714844,14.121210098266602,60.605224609375,35.99405288696289,121.2703857421875,55.226139068603516,55.81547546386719,108.44290161132812,32.5860481262207,164.38864135742188,78.74205780029297,74.0190200805664,51.187557220458984,29.127052307128906,70.07174682617188,91.11441040039062,76.04924774169922,40.01295471191406,40.17225646972656,0.48217180371284485,33.872562408447266,68.8889389038086,21.169843673706055,48.792972564697266,60.825042724609375,76.19966888427734,69.71268463134766,19.619197845458984,49.53452682495117
2015-08-03,26.421810150146484,44.850990295410156,14.03433609008789,59.549293518066406,35.54359817504883,121.45402526855469,53.42854309082031,55.273170471191406,107.48727416992188,32.94388198852539,164.08404541015625,78.47975158691406,73.87870025634766,51.187557220458984,29.453195571899414,69.76497650146484,91.1518325805664,75.71414947509766,40.07403564453125,40.266868591308594,0.49038928747177124,33.67749786376953,69.67546081542969,21.22267723083496,48.36005401611328,60.28158950805664,75.32514190673828,70.11054992675781,19.673707962036133,48.81536102294922
2015-08-04,25.5741024017334,44.99249267578125,14.058028221130371,59.04057693481445,35.657997131347656,120.8864517211914,53.18513488769531,55.490081787109375,107.61193084716797,32.77338790893555,164.46881103515625,78.41976928710938,73.7161865234375,51.13528823852539,29.672988891601562,69.69031524658203,91.02084350585938,75.50094604492188,39.836509704589844,40.894840240478516,0.49232301115989685,33.635093688964844,69.93280792236328,21.199186325073242,48.17034149169922,60.42110824584961,74.73954010009766,69.64787292480469,19.692781448364258,48.25879669189453
2015-08-05,25.743642807006836,45.21763610839844,14.113316535949707,59.256370544433594,35.121742248535156,122.5973892211914,52.448612213134766,55.02006530761719,108.44290161132812,33.36861801147461,164.89369201660156,79.25181579589844,74.24803161621094,51.33695602416992,29.864437103271484,70.254150390625,91.92826843261719,76.00357818603516,40.107967376708984,40.929237365722656,0.49739864468574524,33.61813735961914,70.91952514648438,21.193279266357422,48.09251403808594,60.59005355834961,74.23200988769531,69.37958526611328,20.17302894592285,48.25879669189453
